lon,lat,elevation
7.62451,45.98170,2818
7.62494,45.98170,2815
7.62537,45.98170,2815
7.62580,45.98170,2816
7.62623,45.98170,2821
7.62666,45.98170,2828
7.62709,45.98170,2836
7.62752,45.98170,2843
7.62794,45.98170,2850
7.62837,45.98170,2857
7.62880,45.98170,2866
7.62923,45.98170,2876
7.62966,45.98170,2885
7.63009,45.98170,2893
7.63052,45.98170,2899
7.63095,45.98170,2905
7.63138,45.98170,2910
7.63181,45.98170,2916
7.63224,45.98170,2924
7.63267,45.98170,2929
7.63309,45.98170,2934
7.63352,45.98170,2937
7.63395,45.98170,2940
7.63438,45.98170,2943
7.63481,45.98170,2944
7.63524,45.98170,2946
7.63567,45.98170,2949
7.63610,45.98170,2950
7.63653,45.98170,2952
7.63696,45.98170,2954
7.63739,45.98170,2956
7.63782,45.98170,2959
7.63824,45.98170,2962
7.63867,45.98170,2965
7.63910,45.98170,2968
7.63953,45.98170,2974
7.63996,45.98170,2982
7.64039,45.98170,2991
7.64082,45.98170,3003
7.64125,45.98170,3017
7.64168,45.98170,3034
7.64211,45.98170,3055
7.64254,45.98170,3079
7.64297,45.98170,3104
7.64339,45.98170,3131
7.64382,45.98170,3157
7.64425,45.98170,3190
7.64468,45.98170,3228
7.64511,45.98170,3267
7.64554,45.98170,3301
7.64597,45.98170,3332
7.64640,45.98170,3359
7.62451,45.98140,2824
7.62494,45.98140,2824
7.62537,45.98140,2823
7.62580,45.98140,2824
7.62623,45.98140,2828
7.62666,45.98140,2835
7.62709,45.98140,2842
7.62752,45.98140,2849
7.62794,45.98140,2855
7.62837,45.98140,2862
7.62880,45.98140,2871
7.62923,45.98140,2880
7.62966,45.98140,2889
7.63009,45.98140,2896
7.63052,45.98140,2902
7.63095,45.98140,2908
7.63138,45.98140,2913
7.63181,45.98140,2919
7.63224,45.98140,2926
7.63267,45.98140,2931
7.63309,45.98140,2936
7.63352,45.98140,2939
7.63395,45.98140,2942
7.63438,45.98140,2945
7.63481,45.98140,2947
7.63524,45.98140,2950
7.63567,45.98140,2952
7.63610,45.98140,2953
7.63653,45.98140,2955
7.63696,45.98140,2958
7.63739,45.98140,2960
7.63782,45.98140,2962
7.63824,45.98140,2964
7.63867,45.98140,2968
7.63910,45.98140,2970
7.63953,45.98140,2975
7.63996,45.98140,2981
7.64039,45.98140,2990
7.64082,45.98140,3001
7.64125,45.98140,3015
7.64168,45.98140,3031
7.64211,45.98140,3051
7.64254,45.98140,3073
7.64297,45.98140,3097
7.64339,45.98140,3120
7.64382,45.98140,3140
7.64425,45.98140,3166
7.64468,45.98140,3201
7.64511,45.98140,3245
7.64554,45.98140,3288
7.64597,45.98140,3324
7.64640,45.98140,3353
7.62451,45.98110,2829
7.62494,45.98110,2831
7.62537,45.98110,2831
7.62580,45.98110,2832
7.62623,45.98110,2835
7.62666,45.98110,2841
7.62709,45.98110,2847
7.62752,45.98110,2855
7.62794,45.98110,2861
7.62837,45.98110,2867
7.62880,45.98110,2875
7.62923,45.98110,2885
7.62966,45.98110,2892
7.63009,45.98110,2899
7.63052,45.98110,2905
7.63095,45.98110,2911
7.63138,45.98110,2918
7.63181,45.98110,2924
7.63224,45.98110,2929
7.63267,45.98110,2933
7.63309,45.98110,2937
7.63352,45.98110,2940
7.63395,45.98110,2944
7.63438,45.98110,2948
7.63481,45.98110,2950
7.63524,45.98110,2953
7.63567,45.98110,2956
7.63610,45.98110,2957
7.63653,45.98110,2958
7.63696,45.98110,2961
7.63739,45.98110,2964
7.63782,45.98110,2965
7.63824,45.98110,2966
7.63867,45.98110,2969
7.63910,45.98110,2971
7.63953,45.98110,2976
7.63996,45.98110,2981
