h3,storms,max_wind,basin
836861fffffffff,54,130,WP
834aeafffffffff,54,150,WP
837330fffffffff,54,165,WP
834a92fffffffff,54,170,WP
834925fffffffff,54,115,EP
834ad0fffffffff,54,145,WP
834130fffffffff,54,130,WP
83490bfffffffff,54,128,EP
834b9dfffffffff,54,168,WP
834a33fffffffff,54,140,WP
837376fffffffff,54,140,WP
837328fffffffff,54,140,WP
836924fffffffff,54,95,WP
837353fffffffff,54,115,WP
835182fffffffff,54,125,EP
83496efffffffff,54,110,EP
836ec9fffffffff,54,125,EP
836ecefffffffff,54,140,EP
834b9efffffffff,53,155,WP
837340fffffffff,53,125,WP
834acbfffffffff,53,150,WP
834a96fffffffff,53,155,WP
834b8cfffffffff,53,130,WP
834babfffffffff,53,140,WP
83692dfffffffff,53,113,WP
834135fffffffff,53,118,WP
834134fffffffff,53,124,WP
83732efffffffff,53,140,WP
83736afffffffff,53,150,WP
836db3fffffffff,53,95,EP
836d94fffffffff,53,125,EP
834ae2fffffffff,53,148,WP
836e9bfffffffff,53,113,EP
834926fffffffff,53,120,EP
834136fffffffff,53,133,WP
834adbfffffffff,53,138,WP
835195fffffffff,53,115,EP
834a16fffffffff,52,135,WP
834accfffffffff,52,140,WP
83692bfffffffff,52,118,WP
834924fffffffff,52,110,EP
83692efffffffff,52,115,WP
83734cfffffffff,52,150,WP
837341fffffffff,52,155,WP
83696bfffffffff,52,140,WP
83412afffffffff,52,145,WP
836971fffffffff,52,98,WP
834966fffffffff,52,130,EP
834128fffffffff,52,138,WP
834b8dfffffffff,52,145,WP
834aa0fffffffff,52,158,WP
834ac5fffffffff,52,148,WP
837362fffffffff,52,160,WP
834b83fffffffff,52,140,WP
834f4efffffffff,52,154,WP
836da3fffffffff,52,103,EP
834ad5fffffffff,52,150,WP
834a31fffffffff,52,130,WP
83731dfffffffff,51,143,WP
837302fffffffff,51,110,WP
837361fffffffff,51,155,WP
834b90fffffffff,51,133,WP
837311fffffffff,51,158,WP
83684dfffffffff,51,170,WP
837371fffffffff,51,128,WP
834adafffffffff,51,153,WP
834961fffffffff,51,115,EP
834960fffffffff,51,135,EP
83734efffffffff,51,145,WP
837373fffffffff,51,115,WP
834baafffffffff,51,130,WP
837369fffffffff,51,150,WP
834ae6fffffffff,51,138,WP
834a32fffffffff,51,150,WP
834aacfffffffff,51,155,WP
83735efffffffff,51,100,WP
837364fffffffff,51,140,WP
83686efffffffff,50,120,WP
834a14fffffffff,50,125,WP
83690dfffffffff,50,125,WP
835184fffffffff,50,130,EP
834920fffffffff,50,135,EP
834aaafffffffff,50,145,WP
834f6cfffffffff,50,140,WP
837344fffffffff,50,133,WP
836965fffffffff,50,100,WP
837372fffffffff,50,118,WP
834acefffffffff,50,150,WP
834aa9fffffffff,50,143,WP
836975fffffffff,50,110,WP
836928fffffffff,50,115,WP
834171fffffffff,50,90,WP
836926fffffffff,50,105,WP
83692cfffffffff,50,100,WP
834936fffffffff,50,115,EP
834919fffffffff,50,113,EP
837370fffffffff,50,133,WP
836d86fffffffff,50,93,EP
834935fffffffff,50,130,EP
834824fffffffff,50,115,EP
836973fffffffff,50,125,WP
83736efffffffff,50,155,WP
836ec8fffffffff,50,140,EP
834a80fffffffff,50,140,WP
83735bfffffffff,49,110,WP
837343fffffffff,49,125,WP
83696afffffffff,49,115,WP
83696efffffffff,49,105,WP
834b9cfffffffff,49,170,WP
837314fffffffff,49,165,WP
834ad4fffffffff,49,140,WP
837350fffffffff,49,148,WP
834109fffffffff,49,105,WP
834acafffffffff,49,143,WP
837265fffffffff,49,95,WP
836903fffffffff,49,135,WP
834e69fffffffff,49,155,WP
834a34fffffffff,49,145,WP
834b81fffffffff,49,133,WP
836ecdfffffffff,49,140,EP
8351b3fffffffff,49,125,EP
834ad8fffffffff,49,153,WP
834913fffffffff,49,185,EP
836923fffffffff,49,130,WP
834badfffffffff,49,140,WP
836864fffffffff,48,130,WP
83694afffffffff,48,120,WP
834b98fffffffff,48,135,WP
837365fffffffff,48,140,WP
836945fffffffff,48,93,WP
836974fffffffff,48,115,WP
834105fffffffff,48,90,WP
836960fffffffff,48,93,WP
8351a2fffffffff,48,135,EP
83410dfffffffff,48,140,WP
834101fffffffff,48,125,WP
834942fffffffff,48,135,EP
836949fffffffff,48,135,WP
83736dfffffffff,48,155,WP
836900fffffffff,48,115,WP
836d84fffffffff,48,80,EP
834918fffffffff,48,145,EP
834ba8fffffffff,48,138,WP
834e6bfffffffff,48,155,WP
834af5fffffffff,48,153,WP
834a1dfffffffff,48,145,WP
834a10fffffffff,48,130,WP
834b8afffffffff,48,148,WP
83694bfffffffff,47,148,WP
834154fffffffff,47,115,WP
834aa3fffffffff,47,155,WP
836968fffffffff,47,128,WP
83732afffffffff,47,120,WP
834108fffffffff,47,113,WP
835183fffffffff,47,120,EP
834a30fffffffff,47,150,WP
834131fffffffff,47,128,WP
834968fffffffff,47,110,EP
835022fffffffff,47,120,EP
834a0afffffffff,47,138,WP
834ac1fffffffff,47,145,WP
834b88fffffffff,47,140,WP
834a03fffffffff,47,135,WP
83731cfffffffff,46,155,WP
83730efffffffff,46,103,WP
834a12fffffffff,46,140,WP
834aa5fffffffff,46,155,WP
837345fffffffff,46,155,WP
834b4bfffffffff,46,140,WP
837261fffffffff,46,95,WP
837264fffffffff,46,115,WP
837354fffffffff,46,143,WP
834b1afffffffff,46,140,WP
83690cfffffffff,46,120,WP
836863fffffffff,46,165,WP
8351a1fffffffff,46,125,EP
83410cfffffffff,46,115,WP
83730dfffffffff,46,135,WP
83694dfffffffff,46,130,WP
834b89fffffffff,46,140,WP
834f48fffffffff,46,154,WP
834a22fffffffff,46,145,WP
834ba3fffffffff,46,120,WP
834b85fffffffff,46,130,WP
834969fffffffff,46,100,EP
836ec3fffffffff,46,138,EP
834ae4fffffffff,46,140,WP
833c88fffffffff,46,93,NI
836daefffffffff,46,80,EP
834aecfffffffff,45,145,WP
837730fffffffff,45,75,WP
834b8efffffffff,45,143,WP
834b18fffffffff,45,135,WP
83684cfffffffff,45,143,WP
836866fffffffff,45,145,WP
834b91fffffffff,45,145,WP
834f69fffffffff,45,148,WP
834940fffffffff,45,130,EP
834943fffffffff,45,108,EP
834af0fffffffff,45,155,WP
834a13fffffffff,45,130,WP
834175fffffffff,45,93,WP
834acdfffffffff,45,150,WP
834a01fffffffff,45,140,WP
834166fffffffff,45,105,WP
834ac9fffffffff,45,153,WP
834ae3fffffffff,45,143,WP
834a1bfffffffff,45,138,WP
834a1efffffffff,45,150,WP
83736bfffffffff,45,138,WP
834921fffffffff,45,133,EP
8351aefffffffff,45,125,EP
837368fffffffff,45,145,WP
83722dfffffffff,44,95,WP
837363fffffffff,44,158,WP
834a64fffffffff,44,140,WP
837733fffffffff,44,55,WP
836948fffffffff,44,140,WP
83694cfffffffff,44,130,WP
834100fffffffff,44,123,WP
834106fffffffff,44,115,WP
836860fffffffff,44,105,WP
83734afffffffff,44,120,WP
834f6dfffffffff,44,98,WP
83410efffffffff,44,120,WP
834ac0fffffffff,44,155,WP
834ac6fffffffff,44,150,WP
834176fffffffff,44,125,WP
837348fffffffff,44,128,WP
836d96fffffffff,44,100,EP
836972fffffffff,44,115,WP
836d95fffffffff,44,95,EP
83690efffffffff,44,103,WP
834adcfffffffff,44,148,WP
834a19fffffffff,44,135,WP
837310fffffffff,44,83,WP
834f49fffffffff,44,148,WP
835194fffffffff,44,125,EP
837303fffffffff,44,155,WP
834b1bfffffffff,44,140,WP
834a26fffffffff,44,125,WP
837269fffffffff,43,135,WP
837268fffffffff,43,133,WP
83735afffffffff,43,83,WP
837351fffffffff,43,150,WP
836929fffffffff,43,115,WP
8351abfffffffff,43,125,EP
837224fffffffff,43,150,WP
837319fffffffff,43,155,WP
836958fffffffff,43,130,WP
83692afffffffff,43,115,WP
834172fffffffff,43,125,WP
834151fffffffff,43,88,WP
836ec1fffffffff,43,140,EP
8351acfffffffff,43,125,EP
837349fffffffff,43,150,WP
83734dfffffffff,43,150,WP
834133fffffffff,43,115,WP
837342fffffffff,43,83,WP
83496dfffffffff,43,120,EP
834af1fffffffff,43,150,WP
836901fffffffff,43,115,WP
834aaefffffffff,43,155,WP
835191fffffffff,43,130,EP
834a11fffffffff,43,128,WP
834820fffffffff,43,110,EP
834a29fffffffff,43,135,WP
833c89fffffffff,43,108,NI
8351adfffffffff,43,125,EP
834ae0fffffffff,43,145,WP
834162fffffffff,43,105,WP
83730afffffffff,42,130,WP
834ac8fffffffff,42,150,WP
837736fffffffff,42,78,WP
837359fffffffff,42,128,WP
834b95fffffffff,42,155,WP
834b82fffffffff,42,165,WP
834174fffffffff,42,95,WP
834170fffffffff,42,75,WP
834945fffffffff,42,105,EP
835113fffffffff,42,125,EP
837323fffffffff,42,135,WP
834af4fffffffff,42,143,WP
836905fffffffff,42,115,WP
834a0efffffffff,42,135,WP
836922fffffffff,42,113,WP
834a5cfffffffff,42,135,WP
836944fffffffff,42,95,WP
834f41fffffffff,42,148,WP
836eccfffffffff,42,130,EP
834f61fffffffff,42,130,WP
834f60fffffffff,42,138,WP
834addfffffffff,42,145,WP
836dacfffffffff,42,80,EP
83735dfffffffff,41,90,WP
8351b6fffffffff,41,140,EP
834173fffffffff,41,108,WP
834155fffffffff,41,110,WP
836946fffffffff,41,125,WP
834ac3fffffffff,41,150,WP
834e4dfffffffff,41,148,WP
834aebfffffffff,41,155,WP
834f4afffffffff,41,150,WP
834f59fffffffff,41,160,WP
834e68fffffffff,41,148,WP
834a18fffffffff,41,148,WP
834a36fffffffff,41,150,WP
834b1dfffffffff,41,130,WP
834a23fffffffff,41,130,WP
836955fffffffff,41,98,WP
834132fffffffff,41,135,WP
837360fffffffff,41,160,WP
834a5afffffffff,41,138,WP
83518afffffffff,41,105,EP
833c8bfffffffff,41,105,NI
836da8fffffffff,41,65,EP
837734fffffffff,40,140,WP
837262fffffffff,40,115,WP
837275fffffffff,40,95,WP
834150fffffffff,40,108,WP
836ed0fffffffff,40,125,EP
83726cfffffffff,40,90,WP
83696cfffffffff,40,120,WP
836d90fffffffff,40,115,EP
834950fffffffff,40,108,EP
83734bfffffffff,40,115,WP
834f4dfffffffff,40,140,WP
834f45fffffffff,40,154,WP
834b84fffffffff,40,135,WP
834ac2fffffffff,40,150,WP
836ed6fffffffff,40,123,EP
834a04fffffffff,40,135,WP
834ad9fffffffff,40,160,WP
836848fffffffff,40,120,WP
834a5dfffffffff,40,130,WP
834ae1fffffffff,40,145,WP
836d85fffffffff,40,73,EP
83874efffffffff,39,119,SI
83722cfffffffff,39,133,WP
834a75fffffffff,39,130,WP
834aeefffffffff,39,145,WP
83735cfffffffff,39,135,WP
834b19fffffffff,39,135,WP
835035fffffffff,39,118,EP
83695efffffffff,39,125,WP
83496bfffffffff,39,108,EP
83511efffffffff,39,118,EP
834142fffffffff,39,110,WP
836943fffffffff,39,120,WP
834956fffffffff,39,115,EP
83519cfffffffff,39,120,EP
83518cfffffffff,39,115,EP
834e64fffffffff,39,153,WP
834e63fffffffff,39,150,WP
834e45fffffffff,39,153,WP
834e6cfffffffff,39,155,WP
834a60fffffffff,39,120,WP
834156fffffffff,39,88,WP
8351a8fffffffff,39,125,EP
834ac4fffffffff,39,145,WP
835118fffffffff,39,115,EP
834a1afffffffff,39,130,WP
836d80fffffffff,39,95,EP
834f43fffffffff,39,140,WP
837366fffffffff,39,165,WP
836d13fffffffff,39,73,EP
83519dfffffffff,39,108,EP
834a4efffffffff,39,105,WP
8384defffffffff,38,113,SI
834b8bfffffffff,38,140,WP
834a00fffffffff,38,133,WP
83726bfffffffff,38,80,WP
83726afffffffff,38,80,WP
837245fffffffff,38,70,WP
832f4cfffffffff,38,133,WP
8351aafffffffff,38,125,EP
83695bfffffffff,38,138,WP
836ed5fffffffff,38,125,EP
836ec2fffffffff,38,140,EP
83410afffffffff,38,85,WP
83494efffffffff,38,95,EP
834951fffffffff,38,113,EP
83519afffffffff,38,80,EP
834baefffffffff,38,133,WP
834146fffffffff,38,90,WP
834a5bfffffffff,38,125,WP
834f68fffffffff,38,145,WP
834f4cfffffffff,38,146,WP
834b0efffffffff,38,110,WP
834a2cfffffffff,38,115,WP
836906fffffffff,38,120,WP
83ab71fffffffff,38,120,SI
834e73fffffffff,38,140,WP
834f5dfffffffff,38,150,WP
834825fffffffff,38,125,EP
835188fffffffff,38,115,EP
8350b4fffffffff,38,100,EP
83511dfffffffff,38,125,EP
834102fffffffff,38,115,WP
83731efffffffff,38,150,WP
83695afffffffff,38,85,WP
834a06fffffffff,38,135,WP
834b53fffffffff,38,125,WP
834b5efffffffff,38,108,WP
834aa1fffffffff,38,155,WP
83511afffffffff,38,123,EP
834b94fffffffff,38,135,WP
834e44fffffffff,38,140,WP
83695dfffffffff,37,113,WP
836951fffffffff,37,90,WP
837266fffffffff,37,113,WP
834a76fffffffff,37,135,WP
834115fffffffff,37,115,WP
836eebfffffffff,37,120,EP
835185fffffffff,37,125,EP
8351a9fffffffff,37,123,EP
83496afffffffff,37,100,EP
834114fffffffff,37,113,WP
83726dfffffffff,37,88,WP
836940fffffffff,37,123,WP
83410bfffffffff,37,80,WP
834ba1fffffffff,37,130,WP
834145fffffffff,37,89,WP
834e49fffffffff,37,150,WP
834ae8fffffffff,37,150,WP
834ae5fffffffff,37,140,WP
836904fffffffff,37,110,WP
834163fffffffff,37,95,WP
834a58fffffffff,37,133,WP
834a51fffffffff,37,133,WP
834a71fffffffff,37,140,WP
83518efffffffff,37,115,EP
835036fffffffff,37,120,EP
837732fffffffff,37,65,WP
834f4bfffffffff,37,150,WP
83ab44fffffffff,37,125,SI
836d12fffffffff,37,95,EP
834826fffffffff,37,110,EP
835189fffffffff,37,115,EP
834bacfffffffff,37,133,WP
835023fffffffff,37,118,EP
834a1cfffffffff,37,125,WP
836849fffffffff,37,140,WP
836845fffffffff,37,128,WP
836959fffffffff,37,120,WP
834a59fffffffff,37,135,WP
835112fffffffff,37,133,EP
834a5efffffffff,37,125,WP
83848bfffffffff,36,75,SI
83691cfffffffff,36,83,WP
83726efffffffff,36,128,WP
834a2bfffffffff,36,135,WP
834a62fffffffff,36,140,WP
837358fffffffff,36,133,WP
834b54fffffffff,36,115,WP
834143fffffffff,36,78,WP
836e9afffffffff,36,85,EP
834b52fffffffff,36,105,WP
834140fffffffff,36,95,WP
832f45fffffffff,36,95,WP
832f44fffffffff,36,90,WP
835193fffffffff,36,128,EP
834e60fffffffff,36,145,WP
834b72fffffffff,36,118,WP
834a35fffffffff,36,125,WP
834f40fffffffff,36,153,WP
83494cfffffffff,36,110,EP
83519bfffffffff,36,73,EP
834a69fffffffff,36,115,WP
832f4dfffffffff,36,140,WP
834a2dfffffffff,36,140,WP
834f5cfffffffff,36,160,WP
834f44fffffffff,36,155,WP
832f42fffffffff,36,105,WP
836dadfffffffff,36,70,EP
8349a6fffffffff,36,118,EP
8349a0fffffffff,36,115,EP
836daafffffffff,36,65,EP
834a53fffffffff,36,145,WP
83491efffffffff,36,120,EP
83482dfffffffff,36,105,EP
834b0afffffffff,36,123,WP
8384dafffffffff,35,135,SI
8384d6fffffffff,35,90,SI
83848efffffffff,35,103,SI
83a349fffffffff,35,103,SI
83695cfffffffff,35,103,WP
83690afffffffff,35,90,WP
83691dfffffffff,35,140,WP
834a70fffffffff,35,120,WP
837244fffffffff,35,73,WP
83694efffffffff,35,140,WP
83519efffffffff,35,113,EP
834144fffffffff,35,105,WP
834a21fffffffff,35,115,WP
835030fffffffff,35,110,EP
837715fffffffff,35,70,WP
832f46fffffffff,35,90,WP
834f75fffffffff,35,150,WP
836da5fffffffff,35,115,EP
834b01fffffffff,35,120,WP
834b48fffffffff,35,108,WP
83510bfffffffff,35,120,EP
834b5cfffffffff,35,115,WP
834f42fffffffff,35,160,WP
83875cfffffffff,35,85,SI
837316fffffffff,35,65,WP
834a43fffffffff,35,135,WP
834a44fffffffff,35,115,WP
8351a0fffffffff,35,118,EP
8351a5fffffffff,35,135,EP
834164fffffffff,35,90,WP
8349a1fffffffff,35,113,EP
834e66fffffffff,35,130,WP
837223fffffffff,35,130,WP
8351b5fffffffff,35,140,EP
834ae9fffffffff,35,125,WP
83411cfffffffff,35,85,WP
83ab6bfffffffff,34,123,SI
8384dbfffffffff,34,140,SI
83848afffffffff,34,100,SI
83690bfffffffff,34,98,WP
834a02fffffffff,34,125,WP
834b49fffffffff,34,140,WP
837706fffffffff,34,50,WP
837355fffffffff,34,110,WP
835034fffffffff,34,115,EP
83502cfffffffff,34,113,EP
834e6afffffffff,34,155,WP
834a0bfffffffff,34,140,WP
834a05fffffffff,34,128,WP
834a2efffffffff,34,130,WP
837724fffffffff,34,115,WP
834bb0fffffffff,34,125,WP
834e43fffffffff,34,160,WP
832f11fffffffff,34,75,WP
837714fffffffff,34,65,WP
834f6bfffffffff,34,135,WP
834b5afffffffff,34,138,WP
837318fffffffff,34,155,WP
83875dfffffffff,34,117,SI
836825fffffffff,34,90,WP
834f71fffffffff,34,153,WP
8384cafffffffff,34,90,SI
836841fffffffff,34,135,WP
834e62fffffffff,34,140,WP
834f58fffffffff,34,145,WP
834f6efffffffff,34,125,WP
834ba5fffffffff,34,125,WP
836942fffffffff,34,103,WP
83724cfffffffff,34,58,WP
835032fffffffff,34,115,EP
83518bfffffffff,34,90,EP
834a0dfffffffff,34,128,WP
8349adfffffffff,34,150,EP
834f64fffffffff,34,123,WP
834a28fffffffff,34,140,WP
836862fffffffff,34,155,WP
83ab28fffffffff,34,120,SI
834ecbfffffffff,34,115,WP
8351a4fffffffff,34,135,EP
832f6efffffffff,34,115,WP
835140fffffffff,34,125,EP
836da9fffffffff,34,65,EP
832f59fffffffff,34,105,WP
834b42fffffffff,34,113,WP
834e4afffffffff,34,125,WP
834b70fffffffff,34,115,WP
83874afffffffff,33,117,SI
837228fffffffff,33,130,WP
837221fffffffff,33,135,WP
834a72fffffffff,33,133,WP
837260fffffffff,33,105,WP
836eeafffffffff,33,118,EP
836954fffffffff,33,95,WP
834ee2fffffffff,33,130,WP
835198fffffffff,33,85,EP
83724dfffffffff,33,75,WP
834e4cfffffffff,33,140,WP
834a08fffffffff,33,135,WP
